Quarter,Yield,Temp,Dew,Precip,Wind,Humidity
Q1 2067,9836501.1,28.03,21.77,263.6,3.4,78.6
Q2 2067,-1224875.7,28.87,23.21,303.5,3.4,83.4
Q3 2067,744912.7,30.59,23.27,552.9,2.87,86.2
Q4 2067,-12757125.8,26.39,20.36,433.3,3.29,79.6
Q1 2068,9855064.9,28.05,21.78,264.1,3.41,78.6
Q2 2068,-1222200.9,28.88,23.22,302.8,3.39,83.4
Q3 2068,745258.8,30.58,23.27,553.4,2.87,86.2
Q4 2068,-12761191.5,26.36,20.36,433.4,3.28,79.5
Q1 2069,9873628.6,28.08,21.78,264.6,3.41,78.6
Q2 2069,-1219526.1,28.88,23.24,302.2,3.39,83.4
Q3 2069,745604.8,30.58,23.26,553.9,2.87,86.2
Q4 2069,-12765257.3,26.34,20.36,433.6,3.28,79.5
Q1 2070,9892192.3,28.11,21.79,265.1,3.41,78.5
Q2 2070,-1216851.3,28.88,23.25,301.6,3.39,83.4
Q3 2070,745950.9,30.58,23.26,554.4,2.87,86.2
Q4 2070,-12769323.1,26.31,20.35,433.7,3.28,79.5
Q1 2071,9910756.1,28.13,21.79,265.7,3.41,78.5
Q2 2071,-1214176.6,28.89,23.26,301.0,3.38,83.4
Q3 2071,746297.0,30.58,23.25,554.9,2.88,86.2
Q4 2071,-12773388.8,26.29,20.35,433.8,3.28,79.5
Q1 2072,9929319.8,28.16,21.8,266.2,3.42,78.5
Q2 2072,-1211501.8,28.89,23.28,300.4,3.38,83.4
Q3 2072,746643.1,30.58,23.25,555.4,2.88,86.2
Q4 2072,-12777454.6,26.27,20.35,433.9,3.28,79.5
Q1 2073,9947883.6,28.19,21.8,266.7,3.42,78.5
Q2 2073,-1208827.0,28.89,23.29,299.7,3.38,83.4
Q3 2073,746989.1,30.58,23.25,555.9,2.88,86.2
Q4 2073,-12781520.4,26.24,20.35,434.1,3.28,79.5
Q1 2074,9966447.3,28.22,21.81,267.2,3.42,78.5
Q2 2074,-1206152.2,28.89,23.3,299.1,3.37,83.4
Q3 2074,747335.2,30.57,23.24,556.3,2.88,86.2
Q4 2074,-12785586.2,26.22,20.35,434.2,3.28,79.5
Q1 2075,9985011.1,28.24,21.81,267.7,3.42,78.5
Q2 2075,-1203477.4,28.9,23.32,298.5,3.37,83.4
Q3 2075,747681.3,30.57,23.24,556.8,2.88,86.2
Q4 2075,-12789651.9,26.19,20.35,434.3,3.27,79.5
Q1 2076,10003574.8,28.27,21.82,268.2,3.43,78.5
Q2 2076,-1200802.7,28.9,23.33,297.9,3.37,83.4
Q3 2076,748027.3,30.57,23.24,557.3,2.88,86.2
Q4 2076,-12793717.7,26.17,20.34,434.5,3.27,79.5
Q1 2077,10022138.6,28.3,21.82,268.7,3.43,78.5
Q2 2077,-1198127.9,28.9,23.34,297.2,3.36,83.4
Q3 2077,748373.4,30.57,23.23,557.8,2.89,86.2
Q4 2077,-12797783.5,26.14,20.34,434.6,3.27,79.5
Q1 2078,10040702.3,28.33,21.83,269.2,3.43,78.5
Q2 2078,-1195453.1,28.91,23.36,296.6,3.36,83.4
Q3 2078,748719.5,30.57,23.23,558.3,2.89,86.2
Q4 2078,-12801849.2,26.12,20.34,434.7,3.27,79.5
Q1 2079,10059266.0,28.35,21.83,269.7,3.43,78.5
Q2 2079,-1192778.3,28.91,23.37,296.0,3.36,83.4
Q3 2079,749065.5,30.57,23.23,558.8,2.89,86.2
Q4 2079,-12805915.0,26.1,20.34,434.8,3.27,79.4
Q1 2080,10077829.8,28.38,21.84,270.2,3.44,78.5
Q2 2080,-1190103.6,28.91,23.39,295.4,3.35,83.4
Q3 2080,749411.6,30.56,23.22,559.3,2.89,86.2
Q4 2080,-12809980.8,26.07,20.34,435.0,3.27,79.4
Q1 2081,10096393.5,28.41,21.84,270.7,3.44,78.5
Q2 2081,-1187428.8,28.92,23.4,294.8,3.35,83.4
Q3 2081,749757.7,30.56,23.22,559.8,2.89,86.2
Q4 2081,-12814046.6,26.05,20.33,435.1,3.27,79.4
Q1 2082,10114957.3,28.43,21.85,271.2,3.44,78.4
Q2 2082,-1184754.0,28.92,23.41,294.1,3.35,83.4
Q3 2082,750103.8,30.56,23.22,560.2,2.9,86.2
Q4 2082,-12818112.3,26.02,20.33,435.2,3.26,79.4
Q1 2083,10133521.0,28.46,21.85,271.7,3.44,78.4
Q2 2083,-1182079.2,28.92,23.43,293.5,3.34,83.4
Q3 2083,750449.8,30.56,23.21,560.7,2.9,86.2
Q4 2083,-12822178.1,26.0,20.33,435.3,3.26,79.4
Q1 2084,10152084.8,28.49,21.86,272.2,3.45,78.4
Q2 2084,-1179404.5,28.93,23.44,292.9,3.34,83.4
Q3 2084,750795.9,30.56,23.21,561.2,2.9,86.2
Q4 2084,-12826243.9,25.98,20.33,435.5,3.26,79.4
Q1 2085,10170648.5,28.52,21.86,272.7,3.45,78.4
Q2 2085,-1176729.7,28.93,23.45,292.3,3.34,83.4
Q3 2085,751142.0,30.56,23.21,561.7,2.9,86.2
Q4 2085,-12830309.6,25.95,20.33,435.6,3.26,79.4
Q1 2086,10189212.3,28.54,21.87,273.2,3.45,78.4
Q2 2086,-1174054.9,28.93,23.47,291.6,3.33,83.5
Q3 2086,751488.0,30.56,23.2,562.2,2.9,86.2
Q4 2086,-12834375.4,25.93,20.32,435.7,3.26,79.4
Q1 2087,10207776.0,28.57,21.87,273.7,3.45,78.4
Q2 2087,-1171380.1,28.94,23.48,291.0,3.33,83.5
Q3 2087,751834.1,30.55,23.2,562.7,2.91,86.2
Q4 2087,-12838441.2,25.9,20.32,435.8,3.26,79.4
Q1 2088,10226339.7,28.6,21.88,274.2,3.46,78.4
Q2 2088,-1168705.4,28.94,23.49,290.4,3.33,83.5
Q3 2088,752180.2,30.55,23.19,563.2,2.91,86.2
Q4 2088,-12842507.0,25.88,20.32,436.0,3.25,79.4
Q1 2089,10244903.5,28.62,21.88,274.7,3.46,78.4
Q2 2089,-1166030.6,28.94,23.51,289.8,3.32,83.5
Q3 2089,752526.2,30.55,23.19,563.7,2.91,86.2
Q4 2089,-12846572.7,25.85,20.32,436.1,3.25,79.4
Q1 2090,10263467.2,28.65,21.89,275.2,3.46,78.4
Q2 2090,-1163355.8,28.95,23.52,289.2,3.32,83.5
Q3 2090,752872.3,30.55,23.19,564.1,2.91,86.2
Q4 2090,-12850638.5,25.83,20.32,436.2,3.25,79.3
Q1 2091,10282031.0,28.68,21.89,275.7,3.46,78.4
Q2 2091,-1160681.0,28.95,23.54,288.5,3.32,83.5
Q3 2091,753218.4,30.55,23.18,564.6,2.91,86.2
Q4 2091,-12854704.3,25.81,20.32,436.4,3.25,79.3
Q1 2092,10300594.7,28.71,21.9,276.3,3.47,78.4
Q2 2092,-1158006.3,28.95,23.55,287.9,3.31,83.5
Q3 2092,753564.4,30.55,23.18,565.1,2.92,86.2
Q4 2092,-12858770.0,25.78,20.31,436.5,3.25,79.3
Q1 2093,10319158.5,28.73,21.9,276.8,3.47,78.4
Q2 2093,-1155331.5,28.95,23.56,287.3,3.31,83.5
Q3 2093,753910.5,30.54,23.18,565.6,2.92,86.2
Q4 2093,-12862835.8,25.76,20.31,436.6,3.25,79.3
Q1 2094,10337722.2,28.76,21.91,277.3,3.47,78.3
Q2 2094,-1152656.7,28.96,23.58,286.7,3.31,83.5
Q3 2094,754256.6,30.54,23.17,566.1,2.92,86.2
Q4 2094,-12866901.6,25.73,20.31,436.7,3.25,79.3
Q1 2095,10356286.0,28.79,21.91,277.8,3.47,78.3
Q2 2095,-1149981.9,28.96,23.59,286.0,3.3,83.5
Q3 2095,754602.7,30.54,23.17,566.6,2.92,86.2
Q4 2095,-12870967.4,25.71,20.31,436.9,3.24,79.3
Q1 2096,10374849.7,28.81,21.92,278.3,3.48,78.3
Q2 2096,-1147307.2,28.96,23.6,285.4,3.3,83.5
Q3 2096,754948.7,30.54,23.17,567.1,2.92,86.2
Q4 2096,-12875033.1,25.69,20.31,437.0,3.24,79.3
Q1 2097,10393413.4,28.84,21.92,278.8,3.48,78.3
Q2 2097,-1144632.4,28.97,23.62,284.8,3.3,83.5
Q3 2097,755294.8,30.54,23.16,567.6,2.93,86.2
Q4 2097,-12879098.9,25.66,20.3,437.1,3.24,79.3
Q1 2098,10411977.2,28.87,21.93,279.3,3.48,78.3
Q2 2098,-1141957.6,28.97,23.63,284.2,3.29,83.5
Q3 2098,755640.9,30.54,23.16,568.0,2.93,86.2
Q4 2098,-12883164.7,25.64,20.3,437.2,3.24,79.3
Q1 2099,10430540.9,28.9,21.93,279.8,3.48,78.3
Q2 2099,-1139282.8,28.97,23.65,283.6,3.29,83.5
Q3 2099,755986.9,30.53,23.16,568.5,2.93,86.2
Q4 2099,-12887230.5,25.61,20.3,437.4,3.24,79.3
Q1 2100,10449104.7,28.92,21.94,280.3,3.49,78.3
Q2 2100,-1136608.0,28.98,23.66,282.9,3.29,83.5
Q3 2100,756333.0,30.53,23.15,569.0,2.93,86.2
Q4 2100,-12891296.2,25.59,20.3,437.5,3.24,79.2
